model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr1:image:1,attr1:image:2,attr1:image:3,attr1:image:4,attr1:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  S9030103,bathroom and kitchen fittings,sanitary ware,accessories,urinal accessories,cera,CERA Urinals - CHANNEL,Channel for Urinal 600 x 150, 950,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/9011-Channel-for-Urinal-600-x-150.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  S9030104,bathroom and kitchen fittings,sanitary ware,accessories,urinal accessories,cera,CERA Urinals - CHANNEL URINAL,Channel for Urinal 640 x 150 mm, 990,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/9021-cera-9-11-12f11@-229516.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  F8070201,bathroom and kitchen fittings,sanitary ware,accessories,urinal accessories,cera,CERA Faucets - Urinal spreader,Urinal spreader, 810,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-501-Urinal-spreader-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  F9020203,bathroom and kitchen fittings,sanitary ware,accessories,urinal accessories,cera,CERA Faucets - Self closing angle cock pressmatic,Self closing angle cock pressmatic for urinal with wall flange and 200 mm connecting pipe, 2765,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-111self-closing-angle-cock-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  F5007111,bathroom and kitchen fittings,sanitary ware,accessories,bath accessories,cera,CERA Bathroom Accessories - F5007111 HERA Liquid soap dispenser,Liquid soap dispenser, 1580,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2017/07/F5007111-Hera-Accessories-Web.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  F5007110,bathroom and kitchen fittings,sanitary ware,accessories,bath accessories,cera,CERA Bathroom Accessories - F5007110 HERA Paper holder with flap guard,Paper holder with flap guard, 1120,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2017/07/F5007110-Hera-Accessories-Web.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  F5007108,bathroom and kitchen fittings,sanitary ware,accessories,bath accessories,cera,CERA Bathroom Accessories - F5007108 HERA Robe hook,Robe Hook, 615,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2017/07/F5007108-Hera-Accessories-Web.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  F5007109,bathroom and kitchen fittings,sanitary ware,accessories,bath accessories,cera,CERA Bathroom Accessories - F5007109 HERA Paper holder,Paper holder, 875,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2017/07/F5007109.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
SKU:  F5007107,bathroom and kitchen fittings,sanitary ware,accessories,bath accessories,cera,CERA Bathroom Accessories - F5007107 HERA Tumbler holder,Tumbler Holder, 1015,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2017/07/F5007107-Hera-Accessories-Web.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1
