model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,filter_1,filter_2,filter_3,filter_4,filter_5,discount_price,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  S2030113,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CIRCLE,Under / Over Counter Wash Basin 380 x 380 x 150 mm, 2530,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CIRCLE-1027-Under-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030120,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CHESTER,Counter Top Wash Basin, 7560,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CHESTER-1059-Counter-Top-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030124,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CUSHMAN,Over Counter Wash Basin with double bowl 1220 x 485 x 185 mm, 0,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1080-Cushman.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2010103,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLAUS,Wash Basin with integrated half Pedestal, 19080,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/CLAUS-1094-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2010104,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CISCO,Wash Basin with integrated half pedestal, 14140,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/1095-cisco-WB-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2010101,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CHEROOKE,Wash Basin with integrated full pedestal520 x 520 x 840 mm, 41060,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/1077-Cherookee-WB-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2010102,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CHARLES,Wash Basin with integrated full Pedestal, 38070,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/CHARLES-1078-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  B2040104,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - RAG BOLT,Rag Bolt for Wall Hung Wash Basin, 335,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/10/B2040104-WB-Rag-Bolt-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  2408,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - B2040104 RAG BOLTS FOR WALL HUNG WASH BASIN, 2408 Rag Bolts  for Wall Hung WBs, 295,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/RAG-BOLTS-2408-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020110,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLEANSER,Salon Wash Basin, 22450,,,,,,,,black,https://www.cera-india.com/wp-content/uploads/2016/03/1097-Salon-Wash-Basin-1090.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030122,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CABINET,Semi-recessed Wash Basin, 4600,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2030122-Cabinet-Wash-Basin.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030132,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COLGA,Semi-recessed Wash Basin 500 x 420 x 160 mm, 6840,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/06/1226-Colga-WB-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030116,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CRAIG,Cabinet Wash Basin with extended counter, 14430,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/1052-Craig-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030121,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CABINET,Semi-recessed Wash Basin 500 x 420 x 180 mm, 4060,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1067-Cabinet-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030131,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLUNY,Semi-recessed Wash Basin, 13730,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/1210-Cluny-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020130,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CARDIS,Table top / Wall hung wash basin, 6710,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1084-Cardis-WB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020132,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COPENHAGEN,Table top / wall hung wash basins, 14270,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/7776-Copenhagen-Wash-Basin-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020129,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CHARMIS,Table top / Wall hung wash basin, 15360,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1218-Charmis-Wash-Basin-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020162,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CARMONA,Table Top Thin Rim Wash Basin, 7050,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/11/S2020162-Carmona-F11@2957-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020154,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COLMAX,Table Top Thin Rim Wash Basin, 6400,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/COLMAX-S2020154-TT-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020153,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COLMID,Table Top Thin Rim Wash Basin, 5300,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/COLMID-S2020153-TT-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020152,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COLMIN,Table Top Thin Rim Wash Basin, 3990,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/COLMIN-S2020152-TT-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020147,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CADDIE,Table Top Wash Basin, 2290,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/CADDIE-S2020147-TT-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020150,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CARALYN,Table Top Wash Basin, 2790,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/CARALYN-S2020150-TT-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020145,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CAMARA,Table Top Wash Basin, 3800,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/CAMARA-S2020145-TT-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020149,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CAFFIE,Table Top Thin Rim Wash Basin, 1790,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/CAFFIE-S2020149-TT-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020161,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORUS,Table Top Thin Rim Wash Basin, 9560,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/02/CORUS-S2020161.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020156,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CITRINE,Table Top Thin Rim Wash Basin, 9850,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/02/CITRINE-S2020156.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020157,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CATMIN,Table Top Thin Rim Wash Basin, 8210,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/02/CATMIN-S2020157-1-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2020158,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CATMID,Table Top Thin Rim Wash Basin, 9050,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/02/CATMID-S2020158-.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040139,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CHIME,Thin Rim Wall Hung Wash Basin, 1990,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2017/05/Chime-S2040139.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040141,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CANAH,CANAH, 3700,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2017/07/S2040141-Canah-Wash-Basin.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040101,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COUNSEL,COUNSEL, 3750,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/1003-COUNSEL-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040103,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORNET,CORNET Wash Basin with full pedestal height 820 mm 550 x 400 x 225 mm, 3980,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/1008-Cornet-WB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040104,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORNET,Wash Basin with full pedestal height 820 mm 630 x 450 x 290 mm, 3980,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1008A-Cornet-WB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040105,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLAIR,CLAIR Wash Basin with full pedestal height 820 mm 550 x 400 x 290 mm, 0,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/CLAIR-1025-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040122,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CANTON,Wash Basin with full pedestal height 830 mm 615 x 510 x 235 mm, 9560,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CANTON-7706-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040119,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CANA,CANA, 3750,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/2803-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040115,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CARGO,Wash Basin with full pedestal height 830 mm, 5090,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1047-Cargo-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040116,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CALVINA, CALVINA Wash Basin with full pedestal height 830 mm 560 x 475 x 200 mm, 6060,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CALVINA1064-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040108,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COGNAC,COGNAC Wash Basin with full pedestal 560 x 430 mm, 4300,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1011-Cognac-WB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040120,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CADAL,CADAL, 3740,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/06/2810A-Cadal-FP-WB-Job_6496-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040109,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CALIBRE,CALIBRE, 4420,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/1014-Calibre-WB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COUNSEL WITH CLIO HALF PEDESTAL,COUNSEL, 3420,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2040101-Counsel-with-Clio-Half-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COUNSEL WITH CLEA HALF PEDESTAL,COUNSEL, 3280,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2020/10/S2040101-Counsel-with-Clea-Half-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORNET WITH CLIO HALF PEDESTAL,CORNET, 3970,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2040103-Cornet-with-Clio-Half-Pedestal-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLAIR WITH CLIO HALF PEDESTAL,CLAIR, 3860,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2040105-Clair-with-Clio-Half-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLAIR WITH CLEA HALF PEDESTAL,CLAIR, 3720,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2020/10/S2040105-Clair-with-Clea-Half-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CALIBRE WITH CLIO HALF PEDESTAL,CALIBRE, 4090,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2040109-Calibre-WB-with-Clio-Half-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040108 WB with Clea Half Pedestal,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COGNAC WITH CLEA HALF PEDESTAL,COGNAC, 3830,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2040108-Cognac-with-Clea-Half-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040104 CORNET WITH CLO HALF PEDESTAL,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORNET WITH CLIO HALF PEDESTAL,CORNET, 4670,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2040104-Cornet-with-Clio-Half-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040104 with Clea Pedestal 510 mm,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORNET WITH CLEA HALF PEDESTAL,CORNET, 4530,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S2040104-Cornet-WB-with-Clea-Pedestal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040155,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CANBERRA,CANBERRA Slim design wash basin with half pedestal 480 x 360 x 130 mm (with half pedestal height 410 mm) S2040155 Wash basin S2090129 Half Pedestal, 3130,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/08/Canberra-S2040155-WH-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040158,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CALIFORNIA,Wash basin with half pedestal height 390 mm 450 x 320 x 130 mm, 2950,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/08/CALIFORNIA-S2040158-WH-WB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040112,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CONCORD,CONCORD, 5585,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/1022-1122.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040150 R,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLOTIN (Right),Wall hung wash basins without pedestal (Bowl on right), 7750,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2018/01/CLOTIN-Left-S2040149.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040149,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLOTIN (Left),Wall hung wash basins without pedestal (Bowl on left), 7750,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2018/01/CLOTIN-Right-S2040150.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040102,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CANON,CANON, 0,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/1012-CANON-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040106,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CALVIN, , 1690,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/2815-CALVIN-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040121,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CADAL, , 1690,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/2810-CADAL-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
